image_path,label_path,stem,image_name,source_folder,split
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-007-1214-00_1732862917124_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-007-1214-00_1732862917124_Frontal_View.txt,anonymous_003-007-1214-00_1732862917124_Frontal_View,anonymous_003-007-1214-00_1732862917124_Frontal_View.jpg,no_retractors/Frontal,val
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-007-673-00_1729239709286_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-007-673-00_1729239709286_Frontal_View.txt,anonymous_003-007-673-00_1729239709286_Frontal_View,anonymous_003-007-673-00_1729239709286_Frontal_View.jpg,no_retractors/Frontal,train
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-007-848-00_1730185308013_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-007-848-00_1730185308013_Frontal_View.txt,anonymous_003-007-848-00_1730185308013_Frontal_View,anonymous_003-007-848-00_1730185308013_Frontal_View.jpg,no_retractors/Frontal,test
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-007-870-00_1730264018655_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-007-870-00_1730264018655_Frontal_View.txt,anonymous_003-007-870-00_1730264018655_Frontal_View,anonymous_003-007-870-00_1730264018655_Frontal_View.jpg,no_retractors/Frontal,val
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-007-950-00_1730792603619_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-007-950-00_1730792603619_Frontal_View.txt,anonymous_003-007-950-00_1730792603619_Frontal_View,anonymous_003-007-950-00_1730792603619_Frontal_View.jpg,no_retractors/Frontal,test
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-008-1052-00_1731329608354_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-008-1052-00_1731329608354_Frontal_View.txt,anonymous_003-008-1052-00_1731329608354_Frontal_View,anonymous_003-008-1052-00_1731329608354_Frontal_View.jpg,no_retractors/Frontal,train
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-008-1134-00_1732531184012_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-008-1134-00_1732531184012_Frontal_View.txt,anonymous_003-008-1134-00_1732531184012_Frontal_View,anonymous_003-008-1134-00_1732531184012_Frontal_View.jpg,no_retractors/Frontal,train
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-008-1140-00_1732538036389_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-008-1140-00_1732538036389_Frontal_View.txt,anonymous_003-008-1140-00_1732538036389_Frontal_View,anonymous_003-008-1140-00_1732538036389_Frontal_View.jpg,no_retractors/Frontal,val
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-008-1188-00_1732714947165_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-008-1188-00_1732714947165_Frontal_View.txt,anonymous_003-008-1188-00_1732714947165_Frontal_View,anonymous_003-008-1188-00_1732714947165_Frontal_View.jpg,no_retractors/Frontal,train
/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Images/no_retractors/Frontal/anonymous_003-008-563-00_1728904641646_Frontal_View.jpg,/content/drive/MyDrive/DIS_PROJESI_007/data_extracted/intraoral_caries/Dataset/Annotations/Darknet_YOLO/no_retractors/Frontal/anonymous_003-008-563-00_1728904641646_Frontal_View.txt,anonymous_003-008-563-00_1728904641646_Frontal_View,anonymous_003-008-563-00_1728904641646_Frontal_View.jpg,no_retractors/Frontal,train
